PROFILE,STORAGE_SYSTEM,STORAGE_POOL,VOLUME_NAME,VOLUME_SIZE,san_connection_A,san_connection_B,os_host_type,LUN_ID
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_R_USERDB_DATA1,120,hba0,hba1,VMware (ESXi)',7
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_R_USERDB_DATA2,120,hba0,hba1,VMware (ESXi)',8
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_R_USERDB_DATA3,120,hba0,hba1,VMware (ESXi)',9
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_R_USERDB_DATA4,120,hba0,hba1,VMware (ESXi)',10
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_R_USERDB_DATA5,120,hba0,hba1,VMware (ESXi)',11
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_R_USERDB_DATA6,120,hba0,hba1,VMware (ESXi)',12
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_R_USERDB_DATA7,120,hba0,hba1,VMware (ESXi)',13
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_R_USERDB_DATA8,120,hba0,hba1,VMware (ESXi)',14
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_R_USERDB_DATA9,120,hba0,hba1,VMware (ESXi)',15
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_R_USERDB_DATA10,120,hba0,hba1,VMware (ESXi)',16
A2P2-WLOYDB01N,ThreePAR-1,CPG-SSD,A2P2-WLOYDBCL_R_USERDB_DATA11,120,hba0,hba1,VMware (ESXi)',17
